ID	baseMean	log2FoldChange	padj	Label
PLIN3	2757.4	0	0.8638	-
USF2	1166.4	0	0.8639	-
RPL34	5743	0	0.8639	-
BYSL	170.6	0	0.8639	-
AL606834.2	8.1	-0.2	0.8639	-
TWF2	854.5	0	0.864	-
BEND3	55.6	-0.1	0.8641	-
AC118549.1	838.8	0	0.8642	-
BLCAP	1297.1	0	0.8642	-
ATP6V0E2	307.7	0.1	0.8642	-
ULK4	88.9	-0.1	0.8643	-
DGCR2	2352	0	0.8644	-
TCL6	10.5	-0.3	0.8645	-
BACH2	113.5	-0.2	0.8649	-
MARCH1	45.7	0.1	0.8649	-
BSCL2	218.1	0.1	0.8649	-
EPB41L4A-AS1	424.5	0.1	0.8649	-
EBF4	77.3	0.1	0.865	-
FGF5	1567.8	0.1	0.865	-
SBSPON	16.4	0.2	0.865	-
AC012467.2	93.8	0	0.865	-
AC048382.6	14.8	0.5	0.865	-
GLIPR1	2602.4	0.1	0.8652	-
SHC1	6095	0	0.8652	-
NPIPB9	8.8	0.5	0.8652	-
CCDC154	10.8	-0.3	0.8652	-
HAUS7	395.1	0	0.8652	-
ZNF529-AS1	31.9	-0.1	0.8652	-
AC005034.5	11	0.2	0.8652	-
TRBV7-9	8.6	-0.3	0.8652	-
PLEKHA8P1	30.9	-0.1	0.8653	-
AL512662.1	9.3	-0.3	0.8653	-
SPIDR	1123.1	0	0.8654	-
TMED2	5021.4	0	0.8655	-
AC084824.1	11.6	0.2	0.8655	-
CDC42	3544.2	0	0.8656	-
WDR75	601.4	0	0.8656	-
MEIS3P2	20	-0.2	0.8656	-
PTOV1-AS2	33	0.1	0.8658	-
WDR92	230	0	0.8659	-
FN3K	93.3	0.1	0.866	-
UPF3A	1090.3	0	0.866	-
BORCS6	112.1	-0.1	0.866	-
FTCDNL1	23.1	0.2	0.866	-
AC010655.2	6.7	0.3	0.866	-
PNMA6B	12	0.3	0.866	-
YAF2	231.6	0	0.8661	-
MLF2	2345.8	0	0.8661	-
THPO	23	0.2	0.8661	-
MLEC	5155.5	0	0.8661	-
PPP2R5D	1117.9	0	0.8661	-
ICE2	724.6	0	0.8661	-
RBM38	158.2	0	0.8661	-
ABI3BP	6766.7	-0.1	0.8661	-
HSF2BP	17.3	0.2	0.8661	-
ID4	54.8	-0.1	0.8661	-
ZNHIT2	83.8	-0.1	0.8661	-
SFXN4	86.2	-0.1	0.8661	-
NOL7	594.6	0	0.8661	-
LINC00242	11.6	0.2	0.8661	-
PROX1-AS1	6.4	0.4	0.8661	-
A2M-AS1	38.7	0.2	0.8661	-
AC009487.4	6.8	-0.3	0.8661	-
GIPR	17.8	0.3	0.8662	-
CLDN15	170.2	-0.1	0.8662	-
CCDC120	98.2	0.1	0.8662	-
UCHL1	4542.9	0.1	0.8662	-
RPL14	10426.7	0	0.8662	-
C1orf220	31.1	0.2	0.8662	-
ZNF254	177.8	0	0.8662	-
STAG3L5P-PVRIG2P-PILRB	174.7	0.1	0.8662	-
MRPL58	208.3	0	0.8663	-
ASPRV1	18.3	-0.1	0.8665	-
TRIP4	351.1	0	0.8667	-
AGAP2	7	-0.4	0.8667	-
ACAD8	405.5	0	0.8667	-
NR2F6	368.7	0	0.8667	-
SMARCA5-AS1	11.5	0.3	0.8667	-
GOLGA8S	20.2	-0.2	0.8667	-
AC135507.1	15.8	0.1	0.8667	-
PVRIG	14.9	0.2	0.8668	-
FTH1P7	20.7	0.2	0.8668	-
VDAC3	1140.6	0	0.8669	-
C7orf25	51.6	0.2	0.8669	-
MAGED4	26	-1.1	0.8669	-
PIP4K2C	396.1	0	0.8669	-
P2RY1	225.4	0.2	0.8669	-
ZNF789	107.2	0	0.8669	-
SNAP25-AS1	18.7	0.4	0.8669	-
AL020996.1	21.5	-0.1	0.8669	-
AL512274.1	9.5	-0.3	0.8669	-
AL031282.2	263.7	0.1	0.8669	-
YJU2	175.3	0	0.8674	-
ANKRD33B	2800	0	0.8674	-
TBCA	952.2	0	0.8674	-
TMEM203	526.2	0	0.8674	-
AC093512.2	98.7	0	0.8674	-
AL049775.1	11.8	0.2	0.8675	-
APOL4	83.9	0.2	0.8681	-
GID8	753.9	0	0.8681	-
POFUT1	2212.8	0	0.8681	-
PON2	1198.1	0	0.8681	-
SRGN	208.7	-0.1	0.8681	-
YME1L1	3291.8	0	0.8681	-
OGT	5670.2	0	0.8681	-
SURF2	126.9	0	0.8681	-
AC099489.1	18.4	0.2	0.8681	-
XRCC6	4687.6	0	0.8681	-
NOP9	898.4	0	0.8681	-
MRPL21	299.2	-0.1	0.8681	-
TMEM229B	36.6	0.2	0.8681	-
OPA1	1374.4	0	0.8681	-
RUSC2	1099.3	0	0.8681	-
DCAF12	588.7	0	0.8681	-
AC105345.1	14.9	0.3	0.8681	-
RPL41	20268.6	0	0.8681	-
SSR4P1	48.1	-0.1	0.8681	-
AC009237.8	8.3	0.3	0.8681	-
AC139495.1	15.3	0.3	0.8681	-
AC010889.1	8.2	-0.5	0.8681	-
MLLT6	2337.6	0	0.8681	-
AL031846.2	77.6	-0.1	0.8681	-
UBE2R2	1669	0	0.8686	-
AC092072.1	85.4	0.1	0.8686	-
MOCOS	223.1	-0.1	0.8687	-
WDR3	513.9	0	0.8688	-
ZC3H15	916.3	0	0.8688	-
SNU13	1147.4	0	0.8688	-
PRMT5	769.8	0	0.8688	-
ASF1B	12.5	0.2	0.8688	-
C22orf23	60.5	-0.1	0.8688	-
AZI2	1914.8	0	0.8688	-
ZNF680	81.5	-0.1	0.8688	-
CEP19	97.9	0	0.8688	-
SP1	2019.4	0	0.8688	-
RPSAP54	31.3	0.2	0.8688	-
SPAAR	6.3	-0.3	0.8688	-
AC078880.4	11	0.2	0.8688	-
AC098484.3	38.4	0.1	0.8688	-
STAG3	175.9	0	0.8689	-
OR7E47P	82.2	-0.2	0.8689	-
TAF11	258.8	0	0.8692	-
GPX7	209.3	0.1	0.8692	-
NOC3L	352.3	0	0.8692	-
FUT1	6.9	-0.4	0.8692	-
FAM89B	452.5	-0.1	0.8692	-
LRRC8B	29.2	-0.1	0.8692	-
FAM118B	344.7	0	0.8692	-
AC069368.1	86.3	0.1	0.8692	-
AC004832.3	24.4	0.1	0.8692	-
C3orf18	492.6	0	0.8693	-
SEC22B2	6.9	-0.5	0.8693	-
GFAP	12.5	0.4	0.8695	-
BIRC2	1385	0	0.8696	-
SPTLC2	860.6	0	0.8697	-
FSD1	57.1	0.1	0.8697	-
TPI1	7337.6	-0.1	0.8697	-
INVS	326.6	0	0.8697	-
PPAT	185.1	0.1	0.8697	-
CSNK1D	3156.3	0	0.8697	-
UFC1	990.7	0	0.8697	-
EAF1	315	0	0.8697	-
KCNJ15	13.5	0.3	0.8697	-
PEA15	9692.5	0	0.8697	-
LCMT2	136.9	0.1	0.8697	-
MTM1	211.1	0	0.8697	-
MAATS1	9.5	-0.4	0.8697	-
VMAC	86.6	0.1	0.8697	-
CRIP1	12.3	0.2	0.8697	-
LINC01515	12.5	0.4	0.8697	-
ZRANB2-AS2	7.9	0.2	0.8697	-
ARPC4-TTLL3	213.6	-0.1	0.8697	-
AL606834.1	13.8	-0.2	0.8697	-
AL161431.1	27.1	0.2	0.8697	-
AL162171.1	1526.7	0	0.8699	-
BCL7C	513.6	0	0.8699	-
TBC1D9	863.4	0	0.8699	-
HSPBP1	372.6	0	0.8699	-
HRK	6.8	0.4	0.8699	-
CBX4	332.7	0	0.8699	-
LIPT1	64.6	-0.1	0.8699	-
MAP11	220.5	-0.1	0.8699	-
SRSF2	1917.9	0	0.8699	-
PCBP1	3244.4	0	0.8699	-
SGF29	97.6	0	0.8699	-
OAF	1190.5	0.1	0.8699	-
FNIP1	1587.7	0	0.8699	-
EIF6	1086.3	0	0.8699	-
AC068896.1	6.7	0.3	0.8699	-
BOLA2-SMG1P6	218.9	0	0.8699	-
RN7SL670P	13.1	-0.2	0.8699	-
AC004812.2	40.4	-0.1	0.8699	-
ZNF252P	400.3	0.1	0.87	-
LRRCC1	176.3	0	0.8701	-
CDT1	22.8	0.1	0.8701	-
TUBGCP5	392.9	0	0.8701	-
HNRNPA3P6	16.5	-0.2	0.8702	-
AC021078.1	737.6	0	0.8706	-
PMF1-BGLAP	47.8	0.1	0.8706	-
AL133520.1	8.6	-0.2	0.8709	-
MAEA	1219.9	0	0.8711	-
PRICKLE1	665.3	0	0.8711	-
H1FX-AS1	53.2	-0.1	0.8711	-
DLEU2	21.2	0.2	0.8711	-
PITRM1-AS1	19.1	-0.3	0.8711	-
ARPIN	817.9	0	0.8712	-
OSTF1	375.9	0	0.8714	-
CASP7	449.7	0.1	0.8714	-
FADD	312.8	0	0.8714	-
C1QTNF3-AMACR	7.2	1.5	0.8714	-
AC093525.10	7.3	-0.5	0.8714	-
SPRYD4	159.2	0	0.8715	-
ZNF567	115.7	0.1	0.8715	-
LINC01354	26.6	0.2	0.8715	-
SNX29P2	7.5	0.5	0.8715	-
TBC1D12	709.1	-0.1	0.8717	-
LIN7A	452.6	-0.1	0.8717	-
KLHL3	73.7	0.1	0.8717	-
SDHAF4	107.1	0	0.8717	-
SLC35F2	50.7	-0.2	0.872	-
PCDHB2	155.4	-0.1	0.872	-
ST3GAL5	409.3	0	0.872	-
COP1	521.9	0	0.872	-
MSI2	669.6	0.1	0.872	-
IL17D	134.5	0.1	0.872	-
INKA2-AS1	9	-0.3	0.872	-
AC015799.1	6.9	0.2	0.872	-
SSH1	2639	0	0.8721	-
ROM1	150	-0.1	0.8722	-
RNF207	95.1	0.1	0.8722	-
LAIR1	8.6	0.2	0.8722	-
SLIT3	16048.4	0.1	0.8722	-
AC011290.2	10.1	0.2	0.8722	-
AC073957.2	10.4	-1.2	0.8722	-
AC008738.7	72.4	0.1	0.8722	-
MRPS18A	263.4	0	0.8724	-
EIF2A	1258.1	0	0.8724	-
PBK	26.5	0.2	0.8724	-
LRRN4CL	3385.3	0	0.8724	-
C5orf38	112.2	-0.4	0.8724	-
AC025287.3	8.1	0.3	0.8724	-
ZNF638	1922.6	0	0.8725	-
TANGO6	215.7	-0.1	0.8725	-
ATP8B3	70.8	-0.1	0.8725	-
ERCC5	1831.7	0	0.8725	-
NGLY1	389	0	0.8725	-
SFXN1	742.7	0.1	0.8725	-
SPG7	1558.3	0	0.8725	-
AC087473.1	178.3	0	0.8725	-
GORAB-AS1	19.1	-0.2	0.8727	-
GMPPB	379	0.1	0.8728	-
EPDR1	1123.9	-0.1	0.8729	-
ICAM4	32.9	-0.1	0.8729	-
YKT6	2077	0	0.8729	-
GBP3	494.1	0.4	0.8729	-
MTRR	578.4	-0.1	0.8729	-
THAP12	857.7	0	0.8729	-
MINK1	1767.4	0	0.8729	-
STAC	238.4	-0.2	0.8729	-
AK3	2462.7	0	0.8729	-
NMT2	717.1	0	0.8729	-
RRP1B	625.9	0	0.8729	-
CCNE2	18.7	-0.2	0.8729	-
FSCN2	20.7	-0.3	0.8729	-
SYCP2	33.3	0.2	0.8729	-
SNHG20	74.8	-0.1	0.8729	-
AC012615.3	18	0.4	0.8729	-
BRAT1	437	0	0.873	-
PSMA1	1510.3	0	0.873	-
SNX27	822	0	0.873	-
JAK3	77.6	-0.1	0.8731	-
STAR	9	0.3	0.8731	-
TSTD1	32.8	-0.3	0.8731	-
RPL21P16	2152.5	0.1	0.8731	-
ZNF564	112.2	-0.1	0.8731	-
RN7SL605P	8.5	0.2	0.8731	-
AC068733.3	19.6	-0.2	0.8731	-
DCAF10	1025.2	0	0.8732	-
ELMSAN1	824.9	0	0.8733	-
ELK4	947.6	0	0.8733	-
GRIK2	33	0.2	0.8733	-
POLR3D	565.4	0	0.8733	-
MRPS18B	587.6	0	0.8733	-
AC114811.2	110.8	-0.1	0.8733	-
EFHC1	687.2	0	0.8734	-
CAMSAP1	545.2	0	0.8734	-
COPZ2	971.3	0	0.8737	-
AEBP1	11767.4	0.1	0.8737	-
MRPS14	414.9	0	0.8737	-
TMEM56	61.1	0.1	0.8737	-
BUB3	1347.3	0	0.8737	-
AC025257.1	36	0.3	0.8737	-
AC132192.2	26.8	-0.1	0.8737	-
RN7SL1	200.6	0.4	0.8737	-
ATRN	2996.4	0	0.8738	-
C11orf58	2710.9	0	0.8738	-
ADTRP	7.7	0.3	0.8738	-
DNAH1	257	0.1	0.8738	-
TMEM18	435.5	0.1	0.8738	-
MICU3	247.6	0.1	0.8738	-
ZNF551	102.1	0	0.8738	-
ECD	452.3	0	0.8739	-
RSPH3	334.8	0	0.8739	-
ALDH9A1	2569.1	0	0.8739	-
ATPAF2	156.1	0	0.8739	-
DDX23	1538.3	0	0.8739	-
H1F0	2053.5	0	0.8739	-
UCA1	9.9	-0.2	0.8739	-
PCDHGB7	1947.1	0.1	0.8739	-
CIAPIN1	453.4	0	0.8741	-
AHCY	1322.5	0	0.8741	-
CBLL1	446.7	0	0.8741	-
JCHAIN	45.4	0.3	0.8741	-
E2F5	84.9	0.1	0.8741	-
SMYD5	434	0	0.8741	-
FEM1B	1370.4	0	0.8741	-
PACS1	2184.3	0	0.8741	-
MAB21L1	75.6	-0.1	0.8741	-
KIF18B	11.4	-0.2	0.8741	-
LINC00504	186.6	0	0.8741	-
CENPQ	82.9	-0.1	0.8742	-
SGCA	8.6	-0.3	0.8742	-
COPS5	892	0	0.8742	-
KIAA0513	1401.1	0.1	0.8742	-
DIS3L2	245.6	0	0.8742	-
KMT2D	2063.6	0	0.8742	-
HIC1	851.7	0.1	0.8742	-
SEMA6A	46.6	-0.1	0.8744	-
LINC00624	8.2	0.2	0.8746	-
TXNDC15	1236.1	0	0.8747	-
ZFYVE9	852.4	0	0.8747	-
ARL5A	530.9	0	0.8747	-
LRRC8A	1346.4	0	0.8749	-
ANKRD13B	273	-0.1	0.8749	-
AC138393.3	12.8	0.2	0.8751	-
PORCN	199.1	0	0.8752	-
ATP6V1B1	9	-0.3	0.8753	-
CYP27A1	1082.5	0	0.8753	-
AL080276.2	23.7	-0.3	0.8753	-
AC087500.2	8	0.2	0.8753	-
NAA10	627.4	0	0.8754	-
RAP1A	1009.1	0	0.8754	-
CCDC181	7.4	0.3	0.8754	-
SEPT7-AS1	19.5	-0.2	0.8754	-
AC005020.2	7.9	-0.5	0.8754	-
FIG4	490.9	0	0.8755	-
RPS21	2485.9	-0.1	0.8755	-
MANSC1	808.8	0.1	0.8758	-
LAGE3	158.5	0	0.8758	-
SLC9A3R2	861.2	0.1	0.8759	-
HNRNPUL1	5170.6	0	0.8759	-
PINK1-AS	260.5	0	0.8759	-
PDCD2L	50.7	0.1	0.8759	-
TMED9	3053.2	0	0.8759	-
LINC02043	33.4	-0.1	0.8759	-
AC022364.1	40.7	0.1	0.8759	-
AC079336.5	10.4	0.2	0.8759	-
LINC02469	12	-0.2	0.876	-
ACOX3	332.8	0	0.8761	-
SUCO	762.8	0	0.8761	-
PLPPR2	928.6	0	0.8761	-
MYH3	36.6	-0.1	0.8761	-
FADS2	1888.4	-0.1	0.8761	-
AKIRIN2	759.7	0	0.8761	-
ALDH1A1	545.9	0.4	0.8761	-
KRT19	23.6	-0.3	0.8761	-
MCMDC2	19	0.2	0.8761	-
SOCS3	1152.9	0	0.8761	-
PTCH1	1044.8	-0.1	0.8761	-
AC109466.1	23.1	0.1	0.8761	-
GLUD1P3	26.2	0.1	0.8761	-
LINC00869	83.6	-0.1	0.8761	-
TSTD3	9.4	0.3	0.8761	-
CASD1	318.9	0	0.8765	-
P4HA3	244.1	-0.1	0.8765	-
SLFN11	1086.4	0.1	0.8765	-
NONOP2	7.9	0.2	0.8765	-
TXNDC5	6380.3	0	0.8765	-
AP001528.2	74.2	-0.1	0.8765	-
APTR	113.1	0	0.8766	-
SERHL2	72.1	0.1	0.8768	-
UQCRFS1P1	17.3	0.4	0.8768	-
AC073349.2	10.5	0.2	0.8768	-
MTMR1	705.2	0	0.8769	-
SETD1A	548.2	0	0.8769	-
CHRNA7	13.7	-0.3	0.8769	-
ARL2	1303.1	0	0.8769	-
LINC01226	59.3	-0.1	0.8769	-
SF3B5	901	0	0.877	-
XXYLT1-AS2	14.1	-0.2	0.877	-
AL049776.1	15.8	0.2	0.877	-
NPHP4	210.7	0	0.8772	-
DDIAS	16.6	-0.2	0.8772	-
IPP	253.9	0	0.8772	-
MRPL42	545.6	0	0.8772	-
PCDHGA6	243.9	0	0.8772	-
AC067852.2	284.2	0	0.8772	-
AC069281.2	87.6	-0.1	0.8772	-
HPCAL1	289.7	0	0.8773	-
SMAD9	445.8	0.1	0.8773	-
ZNF208	9.5	-0.3	0.8773	-
COA6	136	-0.1	0.8773	-
FAM85B	10.1	0.2	0.8773	-
FNBP1P1	11.1	0.2	0.8773	-
NFYC-AS1	25.7	0.1	0.8773	-
TAS2R14	17.8	0.2	0.8774	-
GSTP1	3410.5	0	0.8775	-
ENPP4	114.9	-0.3	0.8776	-
BAIAP3	10.9	-0.3	0.8776	-
DCN	298338	0.1	0.8776	-
NCAPH2	330.5	0	0.8776	-
ATP6V1H	842.5	0	0.8776	-
ARAP2	52.9	0.3	0.8776	-
NNAT	38.9	0.2	0.8776	-
APPBP2	1738.4	0	0.8776	-
PITX1	93.3	0.4	0.8776	-
PILRA	32.7	-0.2	0.8776	-
CD200	53.8	0.2	0.8776	-
SIRPB1	30.9	0.3	0.8776	-
KLF8	94.5	-0.1	0.8776	-
HOMER2	61.4	0.1	0.8776	-
ERF	569	0	0.8776	-
PDAP1	1915.5	0	0.8776	-
DHX40	1562	0	0.8776	-
UMPS	339	0	0.8776	-
HOXB8	7.7	0.5	0.8776	-
PSPC1	629.5	0	0.8776	-
TSKS	6.9	0.2	0.8776	-
BST2	77.2	0.1	0.8776	-
MYH11	150	-0.5	0.8776	-
SMPD4	1181.6	0	0.8776	-
RPLP1	19280	0	0.8776	-
CUZD1	21.7	0.2	0.8776	-
CAPN10	225.6	0	0.8776	-
POLR3A	585.8	0	0.8776	-
SCLT1	165.5	0	0.8776	-
BMP3	11.8	-0.2	0.8776	-
RPL30	8695.3	0	0.8776	-
C9orf43	9.9	0.3	0.8776	-
CFAP298	289.1	0	0.8776	-
ZFPL1	487	0	0.8776	-
TIGD6	166.8	0	0.8776	-
ZCCHC24	6174.1	0	0.8776	-
CUL5	866.1	0	0.8776	-
GLYCTK	43.6	-0.1	0.8776	-
NETO2	70.2	0.3	0.8776	-
MYPOP	116.1	0	0.8776	-
TDRP	128.2	0.1	0.8776	-
TSPYL5	553.3	0	0.8776	-
MRPS16	815.6	0	0.8776	-
SP140L	379.9	0	0.8776	-
ISG15	194.5	0.1	0.8776	-
SHLD2P3	6.6	-0.3	0.8776	-
C2orf27A	65.6	0.1	0.8776	-
SKIV2L	992.2	0	0.8776	-
MIR221	6.6	-0.2	0.8776	-
MT-RNR1	13984.7	0.1	0.8776	-
ZMIZ1-AS1	36.5	0.1	0.8776	-
ZNF469	756.6	-0.1	0.8776	-
SNHG21	24.4	-0.1	0.8776	-
AC012213.2	11.8	-0.2	0.8776	-
NDUFV2P1	62.7	-0.1	0.8776	-
AC008764.2	26.2	-0.1	0.8776	-
AL731566.1	9.1	-0.2	0.8776	-
AP001972.5	168.6	-0.2	0.8776	-
AL022311.1	56.5	0.1	0.8776	-
AC068547.1	50.9	0.3	0.8776	-
AL158064.1	249.7	-0.1	0.8776	-
AC092902.4	60.7	0.1	0.8776	-
AC019080.1	46.7	0.1	0.8777	-
TGFBR3L	12.5	-0.2	0.8778	-
ZNF174	179.4	0	0.8779	-
CLCN2	76.8	0.1	0.8779	-
ATRAID	1753.8	0	0.8779	-
UPF2	1149.8	0	0.8779	-
ZBTB41	561.5	0	0.8779	-
AC037459.2	102.9	-0.1	0.8779	-
NDUFS8	470.9	0	0.878	-
B4GALT6	51.6	0.2	0.878	-
BNC1	213.3	-0.1	0.878	-
AC096772.1	10.7	-0.4	0.878	-
STMN1	1221	0	0.8781	-
SNAP25	152	0.3	0.8781	-
CSNK1G2	1018.7	0	0.8781	-
CCDC142	125.5	0.1	0.8781	-
SLC16A14	58.7	0.1	0.8781	-
CAMTA1	278.4	0	0.8782	-
POP1	191	0	0.8783	-
ACTR10	1267.2	0	0.8783	-
RAP1GDS1	1121.5	0	0.8783	-
SLC39A3	317.6	0	0.8783	-
CWC15	710.9	0	0.8783	-
ZNF738	60.1	0.1	0.8783	-
MRPS22	441.8	0	0.8783	-
TOP3A	339.9	0	0.8783	-
AP3D1	3908.3	0	0.8785	-
UTP14A	352.7	0	0.8785	-
PRMT9	208.8	0	0.8785	-
SLC15A2	11.7	0.3	0.8786	-
CCDC102A	259.7	0	0.8787	-
ATP1B3	1708	0	0.8789	-
KDM5A	1616.4	0	0.8789	-
ZNF608	518.5	0.1	0.8789	-
NPIPA5	172.8	-0.3	0.8789	-
MAML2	1086.6	0	0.8789	-
C15orf62	39.8	-0.1	0.8789	-
KLHL7-DT	8.4	0.3	0.8789	-
ATP6V1G2-DDX39B	97.6	0.5	0.8789	-
AL590065.1	12.3	-0.2	0.8789	-
Z94721.2	6.7	-0.2	0.8789	-
LINC00476	73.6	0.1	0.8791	-
IDUA	503.3	0	0.8792	-
HAPLN1	1007.5	-0.3	0.8792	-
LINC01278	326	0	0.8794	-
HSD17B1	160.9	0.1	0.8795	-
UBE4A	1624	0	0.8795	-
JMJD8	1044.6	0	0.8795	-
ZNF513	272.1	0	0.8795	-
RGS7	47.1	0.3	0.8795	-
CIDECP1	177.8	0	0.8795	-
YBX1	10198	0	0.8796	-
THUMPD1	760.7	0	0.8796	-
MARK2	402.5	0	0.8796	-
TNRC6A	2905.9	0	0.8796	-
CSK	513	0	0.8796	-
POLD2	969.8	0	0.8796	-
SPATA6L	13.3	0.2	0.8796	-
CCNY	1918.5	0	0.8796	-
MRPS30	487	0	0.8796	-
ARID1A	1570	0	0.8796	-
PIAS3	798.2	0	0.8796	-
RGS12	435.5	0	0.8796	-
PKIG	1750.9	0	0.8796	-
MRPL52	352.2	0	0.8796	-
NAA16	284.7	0	0.8796	-
MZT2A	389.6	0	0.8796	-
PRKCZ-AS1	18.6	0.1	0.8796	-
KCNIP4	14.8	0.1	0.8796	-
STRN3	749.3	0	0.8796	-
ZNF780A	382.4	0	0.8796	-
ADAMTSL4-AS1	8.4	0.2	0.8796	-
N4BP2L2	1569.5	0	0.8796	-
PAN3-AS1	33.1	-0.1	0.8796	-
AC021224.1	13	-0.2	0.8796	-
C21orf59-TCP10L	52.2	-0.4	0.8796	-
FXYD1	320.4	0.1	0.8796	-
LINC00907	8	0.3	0.8796	-
AC083798.2	155	-0.1	0.8796	-
AC211486.4	19.9	-0.3	0.8796	-
AC245060.6	78.1	-0.1	0.8796	-
TADA1	112.9	0	0.8797	-
LYG1	8.3	-0.2	0.8798	-
ZNF714	54.6	0.1	0.8798	-
IRAK4	536	0	0.8798	-
AL662899.2	25.7	-0.7	0.8798	-
PIGH	180.7	0	0.8799	-
MIS18BP1	441.6	0	0.8799	-
ZNF473	154.2	0	0.8799	-
C8orf37	53.4	-0.1	0.8799	-
PENK	209.4	0.1	0.8799	-
DEXI	589.4	0	0.8799	-
CCNB1IP1	519.1	0	0.88	-
ENKD1	247.6	0	0.88	-
OMA1	277.8	0	0.88	-
AL354836.1	8.6	-0.2	0.88	-
MT-ATP8	7133.4	0	0.8803	-
IFT57	821.7	0	0.8805	-
ALKBH3	229.7	0	0.8807	-
RBM12B	444.5	0	0.8807	-
HIST2H2BE	178.3	0	0.8807	-
NHLRC2	567.9	0	0.8807	-
LINC00535	19.6	0.1	0.8807	-
AL358113.1	10.8	-0.6	0.8807	-
MLLT10	641.8	0	0.8808	-
RASSF4	610	0.1	0.8808	-
PARP15	57	0.1	0.8808	-
CCDC43	286.2	0	0.8808	-
ZFAND6	1029.2	0	0.8809	-
PMVK	310.5	0	0.8809	-
NEDD4	1318.4	0	0.881	-
TTC39A	9.2	0.3	0.881	-
EIF2AK4	2460.9	0	0.881	-
FAM186B	10.6	0.2	0.881	-
ISG20L2	405.2	0	0.881	-
TEX26-AS1	12.7	-0.2	0.881	-
LINC01967	7.1	0.3	0.881	-
TAF2	789.1	0	0.8811	-
PAX8	26.6	0.4	0.8812	-
AL031587.5	128.9	0.1	0.8813	-
STPG1	187.1	0	0.8814	-
ASXL2	1501.6	0	0.8815	-
HAGH	353.3	0	0.8816	-
PPIE	518.7	0	0.8816	-
NAA25	421.6	0	0.8816	-
MRM2	322.5	0	0.8816	-
PMS2P5	9.9	0.3	0.8816	-
DNPEP	1705.9	0	0.8816	-
CREG1	3261.7	0	0.8816	-
AK8	20.6	-0.1	0.8816	-
CBX2	36	-0.1	0.8816	-
SETD2	1595.2	0	0.8816	-
AC006058.1	226.4	0.1	0.8816	-
AL117336.2	18.8	-0.2	0.8816	-
GTF2H5	769.3	0	0.8816	-
CPT1B	58.2	-0.1	0.8817	-
TIGD1	110.7	0	0.8817	-
AC090825.1	27.8	-0.2	0.8817	-
SAMM50	791.4	0	0.8821	-
CLASRP	391	0	0.8821	-
PPDPF	2057	0	0.8821	-
SVIL-AS1	747.4	-0.1	0.8821	-
INAFM1	129.4	0	0.8821	-
AL359504.2	24.3	0.1	0.8821	-
AC125232.2	92.7	-0.1	0.8821	-
HECTD1	6256.6	0	0.8822	-
MRPL2	219	0	0.8822	-
KLHL18	386	0	0.8822	-
GAA	2894.3	0	0.8822	-
HMGN2P5	18.6	1.3	0.8822	-
LINC00857	128.1	-0.1	0.8822	-
AC015908.3	12.3	-0.2	0.8822	-
AC019131.2	26.3	-0.3	0.8822	-
AC004086.1	15662.5	0	0.8823	-
EDF1	2389	0	0.8823	-
ECT2	392.1	0	0.8823	-
SLC38A4	217.2	-0.1	0.8823	-
HAUS1	268.4	0	0.8823	-
SPICE1	147.5	0.1	0.8823	-
SDHAP1	191.9	0	0.8823	-
TRIM59	336	0	0.8823	-
PRKAR2A-AS1	22.5	0.1	0.8823	-
TRBV12-4	6.9	0.3	0.8823	-
RABL2B	485.4	0	0.8828	-
SLC26A4	10.5	-0.2	0.8828	-
AP000662.1	65.8	0	0.8828	-
AC073896.4	31.7	-0.1	0.8828	-
EDC4	1009.5	0	0.8829	-
CHRNE	14.9	-0.3	0.8829	-
FBXO3	706.1	0	0.8829	-
PCDH12	30	0.2	0.8829	-
SCN11A	8	0.3	0.8829	-
ZNF432	213.3	0	0.8829	-
AC110285.2	40.4	-0.1	0.8829	-
AC092835.1	12.3	0.1	0.883	-
RCN1	5420.4	0	0.8831	-
SLC4A8	116	-0.1	0.8831	-
CPSF1	1609.9	0	0.8831	-
ARMC1	582.5	0	0.8831	-
ARHGEF10	1828.3	0	0.8831	-
CCDC9	362.2	0	0.8831	-
BABAM1	985.7	0	0.8831	-
CYTH2	980.6	0	0.8831	-
PSMA2	921.5	0	0.8831	-
VTN	18.4	0.1	0.8831	-
ACCS	414.7	0.1	0.8831	-
WNT5A	4514	0.2	0.8831	-
LMAN2L	431	0	0.8831	-
CD58	69.2	0	0.8831	-
CDC20	30.7	0.1	0.8831	-
SPOP	908.5	0	0.8831	-
ZNF639	408.1	0	0.8831	-
CCDC91	411.9	0	0.8831	-
ZSWIM6	615.6	0	0.8831	-
CYP2E1	22.1	0.1	0.8831	-
MACROD1	139.1	0	0.8831	-
RPS15A	8340.8	0	0.8831	-
CDCA8	28.1	-0.1	0.8831	-
LCA5	233.4	0	0.8831	-
COQ10A	141.1	0	0.8831	-
APPL2	2455.6	0	0.8831	-
TACO1	241.4	0	0.8831	-
ZNF462	282.5	0.1	0.8831	-
ADAM33	6430.3	0.1	0.8831	-
FRG1BP	125.7	0	0.8831	-
DPYSL4	138.2	0.4	0.8831	-
SCIMP	8.6	0.2	0.8831	-
PPP4R2	1069.6	0	0.8831	-
NEMF	1119.6	0	0.8831	-
PTER	174	-0.1	0.8831	-
QARS	3389.2	0	0.8831	-
